feature,importance
cp_0,0.4120084300640448
ca_0,0.16897083090480317
thal_3,0.13060658280848111
thal_2,0.08506957906001571
chol,0.06775729919125946
oldpeak,0.05316847209875735
exang_1,0.03137515596596683
sex_1,0.024974208923195775
age,0.023115017814468983
thalach,0.0029544231690069203
